"","Q64","Q63","S3_1_1","S3_2_1","S3_4_1_1","S3_4_1_2","S3_5_1","S3_6_1_1","S3_6_1_2","S3_7_1_1","S3_7_1_2","S3_8_1_1","S3_8_1_2","Studie3sel"
"680",34,2,1,2,NA,3,1,NA,4,NA,6,NA,5,4
"681",33,2,2,4,NA,5,4,NA,3,NA,4,NA,4,4
"682",39,1,2,5,NA,4,4,NA,5,NA,5,NA,5,4
"683",32,1,1,2,NA,5,5,NA,4,NA,7,NA,7,4
"684",32,2,2,5,NA,5,5,NA,1,NA,7,NA,5,4
"685",32,2,2,1,NA,2,2,NA,2,NA,4,NA,4,4
"686",32,2,1,3,NA,4,2,NA,3,NA,2,NA,2,4
"687",25,2,1,4,NA,4,4,NA,7,NA,7,NA,7,4
"688",24,1,2,3,NA,7,5,NA,3,NA,6,NA,5,4
"689",22,2,2,3,NA,4,4,NA,3,NA,5,NA,4,4
"690",20,2,1,5,NA,2,2,NA,4,NA,6,NA,4,4
"691",20,1,1,4,NA,2,3,NA,6,NA,6,NA,6,4
"692",18,1,2,4,NA,7,6,NA,5,NA,7,NA,6,4
"693",40,1,2,3,NA,5,4,NA,2,NA,7,NA,4,5
"694",75,1,2,7,NA,1,1,NA,1,NA,1,NA,1,5
"695",69,1,2,4,NA,5,5,NA,5,NA,5,NA,5,5
"696",71,1,2,1,NA,2,2,NA,2,NA,2,NA,4,5
"697",56,2,1,3,NA,6,6,NA,6,NA,7,NA,7,5
"698",69,2,1,1,NA,7,6,NA,7,NA,6,NA,7,5
"699",24,2,1,4,NA,7,7,NA,5,NA,7,NA,6,5
"700",65,1,1,1,NA,2,5,NA,2,NA,6,NA,4,5
"701",40,2,1,6,NA,1,1,NA,5,NA,5,NA,6,5
"702",65,1,1,6,NA,4,3,NA,2,NA,6,NA,2,5
"703",71,1,1,2,NA,3,3,NA,1,NA,2,NA,4,5
"704",50,1,1,3,NA,6,6,NA,5,NA,6,NA,5,5
"705",76,2,2,1,NA,3,3,NA,3,NA,3,NA,3,5
"706",46,1,1,1,NA,3,3,NA,3,NA,4,NA,4,5
"707",62,1,2,2,NA,3,4,NA,3,NA,4,NA,4,5
"708",27,2,2,3,NA,4,4,NA,3,NA,7,NA,7,5
"709",45,1,2,5,NA,5,5,NA,2,NA,2,NA,1,5
"710",69,2,2,2,NA,4,4,NA,4,NA,4,NA,4,5
"711",29,2,1,4,NA,4,3,NA,5,NA,6,NA,4,5
"712",47,1,1,1,NA,4,4,NA,4,NA,5,NA,6,5
"713",74,2,1,6,NA,3,3,NA,2,NA,2,NA,2,5
"714",71,1,2,4,NA,4,4,NA,4,NA,4,NA,4,5
"715",56,2,2,7,NA,1,1,NA,1,NA,1,NA,3,5
"716",47,2,2,2,NA,7,6,NA,4,NA,7,NA,7,5
"717",53,2,2,5,NA,3,3,NA,3,NA,4,NA,6,5
"718",59,1,2,2,NA,4,4,NA,2,NA,5,NA,4,5
"719",25,2,1,4,NA,6,6,NA,7,NA,7,NA,7,5
"720",72,2,1,3,NA,7,7,NA,4,NA,6,NA,4,5
"721",56,1,2,4,NA,4,4,NA,3,NA,4,NA,6,5
"722",72,2,1,3,NA,4,4,NA,4,NA,5,NA,6,5
"723",32,2,2,5,NA,5,5,NA,3,NA,4,NA,7,5
"724",27,1,1,5,NA,3,4,NA,6,NA,7,NA,7,5
"725",55,1,1,1,NA,1,1,NA,1,NA,1,NA,2,5
"726",49,1,2,7,NA,1,2,NA,1,NA,1,NA,1,5
"727",24,1,2,1,NA,3,5,NA,5,NA,7,NA,7,5
"728",65,2,1,6,NA,3,2,NA,7,NA,7,NA,5,5
"729",26,1,1,6,NA,4,3,NA,7,NA,6,NA,6,5
"730",48,2,1,3,NA,7,7,NA,7,NA,7,NA,7,5
"731",75,1,2,4,NA,4,5,NA,2,NA,2,NA,4,5
"732",43,1,2,5,NA,6,4,NA,1,NA,1,NA,4,5
"733",58,2,2,5,NA,5,5,NA,5,NA,7,NA,7,5
"734",75,2,1,4,NA,7,6,NA,3,NA,6,NA,5,5
"735",72,1,1,5,NA,4,4,NA,3,NA,4,NA,4,5
"736",46,1,2,2,NA,7,7,NA,4,NA,7,NA,7,5
"737",70,2,2,7,NA,6,3,NA,6,NA,4,NA,7,5
"738",52,1,1,2,NA,7,7,NA,6,NA,7,NA,7,5
"739",51,2,2,4,NA,5,4,NA,4,NA,7,NA,4,5
"740",52,2,2,2,NA,6,7,NA,4,NA,7,NA,7,5
"741",26,2,1,1,NA,4,4,NA,5,NA,5,NA,7,5
"742",43,2,2,3,NA,6,5,NA,2,NA,7,NA,6,5
"743",53,2,1,4,NA,5,3,NA,3,NA,3,NA,4,5
"744",51,2,1,6,NA,6,2,NA,7,NA,7,NA,7,5
"745",58,1,1,3,NA,3,6,NA,6,NA,5,NA,7,5
"746",85,1,1,4,NA,4,4,NA,3,NA,3,NA,6,5
"747",21,1,1,5,NA,5,6,NA,7,NA,7,NA,7,5
"748",29,2,1,3,NA,3,3,NA,1,NA,2,NA,3,5
"749",34,1,2,7,NA,2,1,NA,2,NA,7,NA,7,5
"750",74,1,1,1,NA,7,4,NA,6,NA,7,NA,7,5
"751",64,1,2,6,NA,2,2,NA,1,NA,1,NA,1,5
"752",40,1,1,6,NA,6,6,NA,6,NA,6,NA,7,5
"753",64,2,2,7,NA,4,4,NA,4,NA,4,NA,4,5
"754",65,2,1,5,NA,7,7,NA,7,NA,7,NA,7,5
"755",82,2,1,5,NA,7,6,NA,6,NA,7,NA,7,5
"756",41,1,2,2,NA,4,3,NA,2,NA,6,NA,4,5
"757",77,2,2,5,NA,4,3,NA,2,NA,2,NA,3,5
"758",70,2,2,6,NA,1,2,NA,2,NA,7,NA,7,5
"759",35,2,2,5,NA,3,3,NA,4,NA,4,NA,4,5
"760",37,2,2,3,NA,6,4,NA,3,NA,7,NA,7,5
"761",69,2,1,3,NA,3,3,NA,4,NA,3,NA,3,5
"762",53,2,1,1,NA,7,4,NA,4,NA,7,NA,7,5
"763",24,1,1,1,NA,6,6,NA,6,NA,7,NA,7,5
"764",71,2,2,4,NA,5,4,NA,5,NA,7,NA,5,5
"765",84,1,1,2,NA,5,5,NA,1,NA,5,NA,5,5
"766",73,2,1,7,NA,6,6,NA,6,NA,6,NA,5,5
"767",28,1,1,4,NA,6,6,NA,7,NA,7,NA,7,5
"768",78,2,2,4,NA,4,5,NA,4,NA,1,NA,4,5
"769",41,2,2,7,NA,1,1,NA,1,NA,1,NA,4,5
"770",34,2,2,4,NA,4,4,NA,4,NA,4,NA,4,5
"771",41,1,2,1,NA,7,7,NA,3,NA,7,NA,4,5
"772",60,1,2,4,NA,4,4,NA,1,NA,3,NA,4,5
"773",64,1,2,6,NA,6,6,NA,7,NA,1,NA,2,5
"774",67,2,2,7,NA,7,4,NA,7,NA,7,NA,7,5
"775",23,2,1,3,NA,5,5,NA,5,NA,7,NA,7,5
"776",44,2,1,4,NA,7,4,NA,4,NA,4,NA,4,5
"777",35,2,2,5,NA,1,1,NA,1,NA,7,NA,6,5
"778",30,1,2,2,NA,4,3,NA,3,NA,4,NA,5,5
"779",60,2,1,4,NA,5,5,NA,6,NA,7,NA,6,5
"780",47,1,1,7,NA,7,7,NA,7,NA,7,NA,7,5
"781",66,2,2,6,NA,6,7,NA,3,NA,6,NA,6,5
"782",66,1,2,6,NA,7,7,NA,7,NA,7,NA,7,5
"783",34,2,2,5,NA,1,1,NA,1,NA,7,NA,3,5
"784",29,1,2,2,NA,3,3,NA,2,NA,3,NA,4,5
"785",34,1,2,2,NA,4,4,NA,4,NA,6,NA,4,5
"786",74,1,1,7,NA,7,7,NA,7,NA,7,NA,7,5
"787",80,2,1,7,NA,4,4,NA,5,NA,6,NA,7,5
"788",45,2,2,2,NA,7,7,NA,3,NA,6,NA,6,5
"789",33,1,1,7,NA,1,1,NA,1,NA,1,NA,2,5
"790",24,1,2,3,NA,7,7,NA,3,NA,7,NA,1,5
"791",61,2,2,7,NA,4,5,NA,3,NA,4,NA,4,5
"792",34,2,1,7,NA,5,4,NA,7,NA,7,NA,7,5
"793",22,1,2,3,NA,4,4,NA,4,NA,4,NA,4,5
"794",74,2,2,7,NA,6,5,NA,1,NA,2,NA,4,5
"795",60,1,2,5,NA,4,4,NA,3,NA,3,NA,5,5
"796",25,2,1,7,NA,6,4,NA,7,NA,7,NA,7,5
"797",63,1,2,7,NA,2,2,NA,1,NA,2,NA,2,5
"798",50,1,1,3,NA,4,4,NA,6,NA,6,NA,7,5
"799",40,2,1,1,NA,6,5,NA,6,NA,7,NA,6,5
"800",38,1,2,4,NA,1,3,NA,3,NA,4,NA,4,5
"801",72,1,1,1,NA,7,4,NA,7,NA,7,NA,7,5
"802",60,1,2,5,NA,6,6,NA,2,NA,6,NA,6,5
"803",54,1,2,5,NA,7,7,NA,1,NA,7,NA,7,5
"804",82,2,2,2,NA,5,5,NA,1,NA,4,NA,4,5
"805",76,2,1,3,NA,3,3,NA,3,NA,6,NA,3,5
"806",74,1,2,6,NA,7,4,NA,6,NA,6,NA,6,5
"807",74,2,1,3,NA,4,4,NA,4,NA,4,NA,7,5
"808",74,2,2,5,NA,4,4,NA,4,NA,3,NA,5,5
"809",73,2,1,4,NA,5,5,NA,5,NA,5,NA,5,5
"810",72,1,1,3,NA,7,7,NA,6,NA,7,NA,7,5
"811",72,2,2,4,NA,3,3,NA,3,NA,3,NA,4,5
"812",72,2,1,3,NA,7,7,NA,7,NA,7,NA,7,5
"813",69,2,2,4,NA,5,5,NA,5,NA,5,NA,5,5
"814",68,2,2,1,NA,1,1,NA,1,NA,1,NA,1,5
"815",68,2,2,7,NA,7,7,NA,7,NA,7,NA,7,5
"816",67,2,1,2,NA,6,6,NA,7,NA,7,NA,7,5
"817",67,2,2,4,NA,7,6,NA,4,NA,5,NA,4,5
"818",67,1,2,2,NA,7,6,NA,2,NA,7,NA,7,5
"819",67,1,1,2,NA,7,7,NA,7,NA,7,NA,7,5
"820",66,1,2,4,NA,3,5,NA,3,NA,3,NA,5,5
"821",65,1,1,3,NA,5,2,NA,1,NA,7,NA,2,5
"822",64,2,1,5,NA,4,4,NA,4,NA,4,NA,4,5
"823",63,1,2,5,NA,1,5,NA,5,NA,2,NA,5,5
"824",63,1,2,2,NA,6,6,NA,1,NA,4,NA,3,5
"825",63,2,1,4,NA,7,7,NA,6,NA,7,NA,7,5
"826",63,1,1,7,NA,7,6,NA,3,NA,5,NA,4,5
"827",63,2,1,5,NA,7,6,NA,7,NA,7,NA,7,5
"828",59,2,1,2,NA,7,7,NA,5,NA,7,NA,7,5
"829",57,2,2,6,NA,3,2,NA,2,NA,1,NA,5,5
"830",56,1,2,7,NA,1,1,NA,1,NA,1,NA,7,5
"831",55,1,1,3,NA,7,7,NA,6,NA,7,NA,7,5
"832",52,1,2,6,NA,4,4,NA,2,NA,2,NA,3,5
"833",51,2,1,1,NA,4,4,NA,6,NA,7,NA,7,5
"834",51,1,2,5,NA,7,4,NA,2,NA,4,NA,5,5
"835",50,1,1,4,NA,7,7,NA,4,NA,7,NA,7,5
"836",49,1,2,6,NA,1,1,NA,1,NA,2,NA,1,5
"837",48,2,2,3,NA,7,7,NA,1,NA,7,NA,7,5
"838",46,1,2,7,NA,7,6,NA,3,NA,7,NA,2,5
"839",45,2,1,2,NA,4,4,NA,5,NA,5,NA,7,5
"840",45,1,1,2,NA,7,7,NA,4,NA,7,NA,7,5
"841",45,1,1,2,NA,6,6,NA,5,NA,6,NA,6,5
"842",44,2,2,5,NA,2,2,NA,2,NA,1,NA,2,5
"843",43,1,2,6,NA,4,3,NA,1,NA,6,NA,5,5
"844",41,2,1,1,NA,7,7,NA,7,NA,7,NA,7,5
"845",39,1,2,4,NA,7,6,NA,7,NA,7,NA,7,5
"846",39,2,1,3,NA,1,1,NA,6,NA,7,NA,5,5
"847",38,1,2,3,NA,7,7,NA,4,NA,7,NA,7,5
"848",35,1,2,5,NA,6,5,NA,3,NA,6,NA,5,5
"849",34,1,1,2,NA,6,5,NA,7,NA,7,NA,7,5
"850",34,1,2,2,NA,7,4,NA,5,NA,7,NA,7,5
"851",33,2,2,5,NA,4,4,NA,3,NA,3,NA,5,5
"852",32,2,1,5,NA,4,4,NA,7,NA,7,NA,7,5
"853",29,2,2,3,NA,4,3,NA,4,NA,7,NA,7,5
"854",28,1,2,2,NA,7,6,NA,4,NA,6,NA,6,5
"855",26,2,1,5,NA,5,4,NA,3,NA,4,NA,6,5
"856",25,1,2,4,NA,5,3,NA,4,NA,6,NA,4,5
"857",25,1,2,2,NA,7,5,NA,2,NA,7,NA,7,5
"858",20,2,2,2,NA,3,3,NA,2,NA,7,NA,5,5
"859",19,1,2,4,NA,5,5,NA,3,NA,5,NA,6,5
"860",18,2,2,5,NA,6,5,NA,1,NA,7,NA,3,5
"861",72,2,2,6,NA,1,1,NA,1,NA,1,NA,1,6
"862",74,2,1,3,NA,4,3,NA,4,NA,5,NA,4,6
"863",65,2,1,3,NA,3,4,NA,3,NA,4,NA,4,6
"864",31,1,1,1,NA,7,7,NA,6,NA,7,NA,7,6
"865",37,1,1,4,NA,5,6,NA,7,NA,7,NA,7,6
"866",37,1,2,2,NA,4,5,NA,5,NA,6,NA,6,6
"867",51,1,2,5,NA,2,2,NA,1,NA,7,NA,5,6
"868",72,2,2,2,NA,4,2,NA,5,NA,6,NA,5,6
"869",62,1,1,1,NA,4,4,NA,4,NA,4,NA,4,6
"870",36,2,1,5,NA,4,4,NA,4,NA,4,NA,2,6
"871",51,1,2,2,NA,5,5,NA,2,NA,5,NA,6,6
"872",73,1,1,3,NA,7,7,NA,6,NA,6,NA,7,6
"873",46,1,2,4,NA,3,3,NA,1,NA,7,NA,7,6
"874",48,2,1,5,NA,5,5,NA,6,NA,7,NA,7,6
"875",73,2,2,5,NA,2,5,NA,2,NA,6,NA,5,6
"876",43,2,1,5,NA,5,5,NA,7,NA,7,NA,7,6
"877",NA,1,1,3,NA,6,6,NA,6,NA,6,NA,1,6
"878",66,1,1,5,NA,2,2,NA,2,NA,2,NA,4,6
"879",78,2,1,4,NA,6,6,NA,7,NA,7,NA,7,6
"880",55,1,2,2,NA,6,5,NA,2,NA,6,NA,7,6
"881",48,2,2,7,NA,1,3,NA,7,NA,2,NA,4,6
"882",43,2,1,6,NA,7,7,NA,7,NA,7,NA,7,6
"883",60,2,1,6,NA,2,6,NA,1,NA,6,NA,5,6
"884",71,1,1,6,NA,5,5,NA,6,NA,6,NA,4,6
"885",57,1,2,5,NA,2,3,NA,2,NA,6,NA,7,6
"886",48,2,1,4,NA,5,5,NA,5,NA,6,NA,5,6
"887",73,1,2,6,NA,7,7,NA,1,NA,7,NA,7,6
"888",70,2,2,2,NA,7,7,NA,2,NA,7,NA,7,6
"889",NA,1,2,3,NA,7,7,NA,3,NA,7,NA,7,6
"890",79,2,2,4,NA,1,1,NA,1,NA,1,NA,1,6
"891",70,2,2,3,NA,3,1,NA,3,NA,6,NA,7,6
"892",47,2,1,6,NA,6,3,NA,6,NA,4,NA,5,6
"893",44,1,1,4,NA,6,5,NA,5,NA,6,NA,6,6
"894",64,1,1,4,NA,5,5,NA,4,NA,4,NA,5,6
"895",28,2,2,5,NA,1,1,NA,7,NA,3,NA,7,6
"896",38,2,2,5,NA,5,5,NA,3,NA,3,NA,4,6
"897",60,2,2,3,NA,2,2,NA,5,NA,3,NA,3,6
"898",72,2,2,2,NA,4,5,NA,4,NA,6,NA,4,6
"899",27,1,2,3,NA,4,5,NA,4,NA,7,NA,6,6
"900",65,2,2,3,NA,4,4,NA,3,NA,4,NA,5,6
"901",47,1,2,7,NA,1,1,NA,1,NA,5,NA,3,6
"902",45,1,2,5,NA,4,4,NA,4,NA,4,NA,4,6
"903",79,2,1,1,NA,3,3,NA,7,NA,7,NA,7,6
"904",35,1,1,7,NA,1,3,NA,6,NA,5,NA,5,6
"905",47,2,1,4,NA,3,3,NA,3,NA,7,NA,7,6
"906",23,1,1,2,NA,4,3,NA,4,NA,6,NA,7,6
"907",23,2,1,2,NA,4,4,NA,6,NA,7,NA,7,6
"908",46,1,2,2,NA,4,4,NA,3,NA,6,NA,6,6
"909",76,2,2,4,NA,5,4,NA,4,NA,4,NA,7,6
"910",47,1,2,4,NA,3,5,NA,2,NA,3,NA,4,6
"911",63,2,1,4,NA,3,3,NA,4,NA,4,NA,3,6
"912",69,2,2,4,NA,4,4,NA,4,NA,4,NA,4,6
"913",68,2,1,4,NA,4,6,NA,7,NA,7,NA,7,6
"914",44,1,1,4,NA,3,3,NA,3,NA,3,NA,5,6
"915",68,2,2,3,NA,5,4,NA,3,NA,7,NA,7,6
"916",23,1,1,4,NA,5,5,NA,5,NA,7,NA,6,6
"917",60,2,2,5,NA,3,3,NA,1,NA,6,NA,6,6
"918",28,1,2,6,NA,1,3,NA,1,NA,2,NA,2,6
"919",44,2,2,1,NA,4,4,NA,4,NA,7,NA,6,6
"920",21,1,1,7,NA,3,4,NA,4,NA,4,NA,3,6
"921",73,1,2,7,NA,5,4,NA,6,NA,5,NA,4,6
"922",40,2,2,7,NA,5,5,NA,5,NA,5,NA,1,6
"923",54,1,1,5,NA,5,6,NA,5,NA,7,NA,2,6
"924",78,1,1,3,NA,7,7,NA,7,NA,7,NA,7,6
"925",50,1,2,3,NA,4,4,NA,3,NA,6,NA,6,6
"926",60,1,1,6,NA,7,6,NA,7,NA,7,NA,7,6
"927",40,1,2,4,NA,6,5,NA,3,NA,6,NA,6,6
"928",59,2,2,2,NA,2,4,NA,2,NA,6,NA,7,6
"929",55,1,2,4,NA,4,4,NA,4,NA,4,NA,4,6
"930",28,2,1,3,NA,5,5,NA,4,NA,7,NA,5,6
"931",50,1,1,2,NA,7,3,NA,4,NA,4,NA,6,6
"932",37,2,2,6,NA,1,1,NA,2,NA,6,NA,7,6
"933",26,1,2,4,NA,4,7,NA,7,NA,6,NA,5,6
"934",47,2,1,4,NA,5,5,NA,5,NA,7,NA,6,6
"935",62,2,1,1,NA,1,1,NA,7,NA,7,NA,7,6
"936",36,1,1,5,NA,5,5,NA,7,NA,7,NA,7,6
"937",69,1,1,3,NA,1,1,NA,4,NA,3,NA,2,6
"938",35,1,1,3,NA,6,6,NA,5,NA,7,NA,7,6
"939",32,1,2,4,NA,3,3,NA,7,NA,7,NA,1,6
"940",74,1,1,7,NA,1,1,NA,1,NA,1,NA,2,6
"941",69,2,1,4,NA,3,4,NA,3,NA,5,NA,3,6
"942",34,2,1,3,NA,4,4,NA,3,NA,3,NA,4,6
"943",51,2,1,5,NA,6,2,NA,7,NA,7,NA,7,6
"944",76,1,1,5,NA,6,6,NA,2,NA,7,NA,7,6
"945",32,2,1,4,NA,4,4,NA,5,NA,7,NA,7,6
"946",71,1,1,3,NA,5,4,NA,3,NA,4,NA,3,6
"947",74,2,2,5,NA,4,3,NA,1,NA,2,NA,3,6
"948",21,2,2,3,NA,5,5,NA,4,NA,4,NA,4,6
"949",44,1,1,2,NA,3,2,NA,5,NA,6,NA,6,6
"950",79,2,1,3,NA,7,7,NA,5,NA,7,NA,7,6
"951",25,2,2,1,NA,4,4,NA,5,NA,7,NA,7,6
"952",58,2,2,7,NA,1,1,NA,1,NA,1,NA,1,6
"953",31,2,2,4,NA,4,3,NA,3,NA,6,NA,4,6
"954",55,2,2,4,NA,5,5,NA,7,NA,1,NA,2,6
"955",69,1,1,1,NA,4,4,NA,4,NA,4,NA,4,6
"956",29,2,1,3,NA,6,6,NA,6,NA,7,NA,7,6
"957",71,1,2,3,NA,3,3,NA,4,NA,7,NA,7,6
"958",57,1,1,2,NA,2,7,NA,4,NA,4,NA,4,6
"959",70,1,2,6,NA,1,1,NA,1,NA,4,NA,4,6
"960",21,1,1,6,NA,6,4,NA,6,NA,7,NA,2,6
"961",62,2,2,6,NA,7,7,NA,4,NA,7,NA,4,6
"962",71,1,1,1,NA,7,4,NA,7,NA,7,NA,7,6
"963",47,2,2,4,NA,3,3,NA,4,NA,6,NA,6,6
"964",85,1,1,2,NA,6,6,NA,6,NA,7,NA,6,6
"965",41,2,2,6,NA,4,4,NA,2,NA,6,NA,7,6
"966",82,2,1,1,NA,7,6,NA,7,NA,7,NA,7,6
"967",82,2,1,4,NA,5,3,NA,5,NA,6,NA,6,6
"968",79,2,1,4,NA,4,3,NA,5,NA,4,NA,4,6
"969",78,1,1,4,NA,4,5,NA,3,NA,4,NA,3,6
"970",76,2,1,4,NA,2,3,NA,7,NA,7,NA,4,6
"971",76,1,2,6,NA,2,5,NA,3,NA,6,NA,6,6
"972",75,2,1,7,NA,1,1,NA,1,NA,1,NA,3,6
"973",75,2,1,4,NA,4,4,NA,7,NA,7,NA,7,6
"974",72,1,2,7,NA,6,6,NA,7,NA,7,NA,7,6
"975",72,2,1,7,NA,7,7,NA,7,NA,7,NA,7,6
"976",71,2,2,2,NA,3,3,NA,3,NA,4,NA,4,6
"977",70,2,2,3,NA,3,3,NA,2,NA,5,NA,5,6
"978",69,2,2,7,NA,7,7,NA,1,NA,1,NA,1,6
"979",67,1,2,5,NA,4,3,NA,5,NA,4,NA,4,6
"980",66,1,2,5,NA,7,7,NA,4,NA,7,NA,7,6
"981",66,2,2,5,NA,7,7,NA,7,NA,7,NA,7,6
"982",66,1,2,4,NA,3,3,NA,2,NA,3,NA,4,6
"983",63,1,2,4,NA,5,5,NA,4,NA,6,NA,6,6
"984",63,1,1,7,NA,7,5,NA,7,NA,7,NA,7,6
"985",63,2,2,6,NA,4,4,NA,2,NA,6,NA,6,6
"986",60,2,2,5,NA,3,4,NA,2,NA,4,NA,5,6
"987",58,2,1,3,NA,2,2,NA,3,NA,4,NA,4,6
"988",57,2,2,2,NA,6,4,NA,4,NA,6,NA,6,6
"989",55,2,1,2,NA,6,6,NA,6,NA,7,NA,7,6
"990",54,1,2,6,NA,1,1,NA,1,NA,1,NA,3,6
"991",53,2,2,6,NA,4,5,NA,3,NA,4,NA,4,6
"992",50,2,2,5,NA,1,2,NA,1,NA,1,NA,7,6
"993",49,2,2,2,NA,1,1,NA,1,NA,1,NA,4,6
"994",48,2,2,2,NA,5,4,NA,4,NA,6,NA,6,6
"995",44,2,1,4,NA,1,1,NA,4,NA,4,NA,6,6
"996",41,2,1,7,NA,6,5,NA,6,NA,6,NA,5,6
"997",40,2,2,4,NA,3,3,NA,2,NA,7,NA,5,6
"998",40,1,2,6,NA,4,5,NA,1,NA,4,NA,3,6
"999",40,2,1,7,NA,4,2,NA,7,NA,7,NA,7,6
"1000",40,2,1,5,NA,5,4,NA,5,NA,6,NA,6,6
"1001",36,2,1,2,NA,5,2,NA,5,NA,7,NA,7,6
"1002",36,1,1,7,NA,7,7,NA,7,NA,7,NA,7,6
"1003",35,2,2,7,NA,1,3,NA,1,NA,1,NA,1,6
"1004",34,1,1,5,NA,5,5,NA,7,NA,7,NA,7,6
"1005",32,2,2,4,NA,3,3,NA,1,NA,4,NA,4,6
"1006",32,1,1,3,NA,6,4,NA,6,NA,7,NA,7,6
"1007",32,2,2,3,NA,3,3,NA,2,NA,2,NA,7,6
"1008",31,2,1,6,NA,6,6,NA,7,NA,7,NA,7,6
"1009",30,2,1,5,NA,2,2,NA,7,NA,7,NA,7,6
"1010",29,2,2,4,NA,1,1,NA,3,NA,3,NA,4,6
"1011",27,2,2,4,NA,4,4,NA,2,NA,6,NA,4,6
"1012",27,2,1,5,NA,1,2,NA,6,NA,7,NA,7,6
"1013",20,1,2,7,NA,7,7,NA,7,NA,7,NA,7,6
"1014",26,2,2,5,NA,4,4,NA,4,NA,3,NA,1,6
"1015",24,1,1,4,NA,4,5,NA,4,NA,5,NA,5,6
"1016",23,2,2,3,NA,7,6,NA,5,NA,7,NA,6,6
"1017",21,1,1,5,NA,5,5,NA,5,NA,5,NA,5,6
"1018",18,2,2,5,NA,4,4,NA,4,NA,4,NA,4,6
"1019",18,2,1,1,NA,6,5,NA,4,NA,4,NA,5,6
